racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,result_bin
-2.0,0.16003292024783575,0.95,-0.4086,-0.4244,-0.41808,0.0004233149585911868,0.0006579030078905923,0.06759609065062383,-0.5835,0.4086,-0.835875,-0.2,1
-2.0,0.16003292024783575,0.95,-0.4086,-0.4244,-0.41808,0.0004233149585911868,0.0006579030078905923,0.06759609065062383,-0.5835,0.4086,-0.835875,-0.2,1
-1.0,0.15793292024783576,0.95,-0.4086,-0.4244,-0.41808,0.0004233149585911868,0.0006579030078905923,0.06759609065062383,-0.5835,0.4086,-0.865875,-0.1,1
-1.0,0.15793292024783576,0.95,-0.4086,-0.4244,-0.41808,0.0004233149585911868,0.0006579030078905923,0.06759609065062383,-0.5835,0.4086,-0.865875,-0.1,1
-2.0,0.16003292024783575,0.95,-0.4086,-0.4244,-0.41808,0.0004233149585911868,0.0006579030078905923,0.06759609065062383,-0.5835,0.4086,-0.835875,-0.2,1
-3.0,0.16213292024783577,0.95,-0.4086,-0.4244,-0.41808,0.0004233149585911868,0.0006579030078905923,0.06759609065062383,-0.5835,0.4086,-0.805875,-0.3,1
-1.0,0.15793292024783576,0.95,-0.4086,-0.4244,-0.41808,0.0004233149585911868,0.0006579030078905923,0.06759609065062383,-0.5835,0.4086,-0.865875,-0.1,1
-10.0,0.17780700575874367,0.95,-0.4164,-0.4286,-0.42372,0.0004431270979209097,0.0006890235163717895,0.06863968007155397,-0.5775000000000001,0.4164,-0.5943750000000001,-1.0,1
-2.0,0.16003292024783575,0.95,-0.4086,-0.4244,-0.41808,0.0004233149585911868,0.0006579030078905923,0.06759609065062383,-0.5835,0.4086,-0.835875,-0.2,1
1.0,0.15890700575874367,0.95,-0.4164,-0.4286,-0.42372,0.0004431270979209097,0.0006890235163717895,0.06863968007155397,-0.5775000000000001,0.4164,-0.864375,0.1,1
1.0,0.10027280736923244,0.95,-0.3734,-0.2992,-0.32888000000000006,0.0011907493840292035,0.0018854811127499982,0.05891424609281677,-0.6637,0.3734,-0.885925,0.1,0
1.0,0.10027280736923244,0.95,-0.3734,-0.2992,-0.32888000000000006,0.0011907493840292035,0.0018854811127499982,0.05891424609281677,-0.6637,0.3734,-0.885925,0.1,0
1.0,0.09952545221255751,0.95,-0.3686,-0.29480000000000006,-0.32432000000000005,0.00117548416178862,0.0018606130576269697,0.058113011528400774,-0.6683,0.3686,-0.8870750000000001,0.1,0
1.0,0.09952545221255751,0.95,-0.3686,-0.29480000000000006,-0.32432000000000005,0.00117548416178862,0.0018606130576269697,0.058113011528400774,-0.6683,0.3686,-0.8870750000000001,0.1,0
1.0,0.09952545221255751,0.95,-0.3686,-0.29480000000000006,-0.32432000000000005,0.00117548416178862,0.0018606130576269697,0.058113011528400774,-0.6683,0.3686,-0.8870750000000001,0.1,0
1.0,0.10193236262967455,0.95,-0.384,-0.30900000000000005,-0.3390000000000001,0.001225053090829096,0.0019414320092563386,0.060693288499732594,-0.6535,0.384,-0.883375,0.1,0
1.0,0.09952545221255751,0.95,-0.3686,-0.29480000000000006,-0.32432000000000005,0.00117548416178862,0.0018606130576269697,0.058113011528400774,-0.6683,0.3686,-0.8870750000000001,0.1,0
1.0,0.09952545221255751,0.95,-0.3686,-0.29480000000000006,-0.32432000000000005,0.00117548416178862,0.0018606130576269697,0.058113011528400774,-0.6683,0.3686,-0.8870750000000001,0.1,0
